ID_Gireve_Zone;Nom_Enseigne_dexploitation;Nom_Zone;Libelle_Affichable;ID_Exploitant_Zone;ID_eMI3_Zone;Agregateur;Id_Agregateur;Nom_Exploitant_Technique;ID_eMI3_Exploitant_T;Nom_Exploitant_Proprietaire;ID_eMI3_Exploitant_P;Nom_Exploitant_Commercial;ID_eMI3_Exploitant_C;Numero_Rue;Nom_Rue;Ville;Code_Postal;Pays;Complement_Adresse;Latitude_Zone;Longitude_Zone;Etage_dimplantation_Zone;Nombre_Borne_Zone;Nombre_Parking_Zone;Accessibilite_Zone;Type_Site_dimplantation_Zone;Statut_activite_Zone;Latitude_Entree_Zone;Longitude_Entree_Zone;Numero_Tel_Zone;Identifiant_GRD_du_PDL;Commentaire_Acces;Horaires_Geres;24/24;Ouverture_Lundi;Fermeture_Lundi;Ouverture_Mardi;Fermeture_Mardi;Ouverture_Mercredi;Fermeture_Mercredi;Ouverture_Jeudi;Fermeture_Jeudi;Ouverture_Vendredi;Fermeture_Vendredi;Ouverture_Samedi;Fermeture_Samedi;Ouverture_Dimanche;Fermeture_Dimanche;ID_Audit;Auteur_Audit;Informations_Audit;Date_Audit;ID_Gireve_Borne;ID_Exploitant_Borne;Identifiant_visuel_Borne;Nombre_PointsdeCharge_Borne;Borne_communiquante;Fabricant_Borne;Modele_Borne;Type_acces_Borne;Mode_authentification;Langue_Borne;Commentaire;Mode_paiement;Commentaires_paiement;ID_Gireve_Point;IDExt_Point;Identifiant_pt_charge;Identifiant_visuel_pt_charge;Comptage_Type;Type_Courant;Nombre_prises;Puissance_Max;Label_certification;Roamable;ID_Gireve_Groupe;Service_Name;Nom_Type_Prise1;Intensite_Prise1;Nom_Type_Prise2;Intensite_Prise2;Nom_Type_Prise3;Intensite_Prise3;Nom_Type_Prise4;Intensite_Prise4;Nom_Type_Prise5;Intensite_Prise5
393401;Bastia Mairie;Bastia Mairie/FR*XXX*PMAIRIEBASTIA20200*1;Bastia Mairie;FR*XXX*PMAIRIEBASTIA20200*1;FR*XXX*PMAIRIEBASTIA20200*1;;;Driveco | XX*DRV;XX*DRV;Bastia Mairie;;;;;Avenue Pierre Giudicelli;Bastia;20200;FR;;42.702202;9.452080;0;1;6;1;1;2;42.702202;9.452080;;;;1;0;;;;;;;;;;;;;;;;;;;515156;FR*XXX*PMAIRIEBASTIA20200*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939527;ZChargePoint492;FR*XXX*E10337*P2;10337;0;2;1;22.000;;0;;;9;32;;;;;;;;
393401;Bastia Mairie;Bastia Mairie/FR*XXX*PMAIRIEBASTIA20200*1;Bastia Mairie;FR*XXX*PMAIRIEBASTIA20200*1;FR*XXX*PMAIRIEBASTIA20200*1;;;Driveco | XX*DRV;XX*DRV;Bastia Mairie;;;;;Avenue Pierre Giudicelli;Bastia;20200;FR;;42.702202;9.452080;0;1;6;1;1;2;42.702202;9.452080;;;;1;0;;;;;;;;;;;;;;;;;;;515156;FR*XXX*PMAIRIEBASTIA20200*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939530;ZChargePoint493;FR*XXX*E10338*P1;10338;0;2;2;22.000;;0;;;4;16;9;32;;;;;;
393401;Bastia Mairie;Bastia Mairie/FR*XXX*PMAIRIEBASTIA20200*1;Bastia Mairie;FR*XXX*PMAIRIEBASTIA20200*1;FR*XXX*PMAIRIEBASTIA20200*1;;;Driveco | XX*DRV;XX*DRV;Bastia Mairie;;;;;Avenue Pierre Giudicelli;Bastia;20200;FR;;42.702202;9.452080;0;1;6;1;1;2;42.702202;9.452080;;;;1;0;;;;;;;;;;;;;;;;;;;515156;FR*XXX*PMAIRIEBASTIA20200*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939533;ZChargePoint494;FR*XXX*E10338*P2;10338;0;2;1;22.000;;0;;;9;32;;;;;;;;
393401;Bastia Mairie;Bastia Mairie/FR*XXX*PMAIRIEBASTIA20200*1;Bastia Mairie;FR*XXX*PMAIRIEBASTIA20200*1;FR*XXX*PMAIRIEBASTIA20200*1;;;Driveco | XX*DRV;XX*DRV;Bastia Mairie;;;;;Avenue Pierre Giudicelli;Bastia;20200;FR;;42.702202;9.452080;0;1;6;1;1;2;42.702202;9.452080;;;;1;0;;;;;;;;;;;;;;;;;;;515156;FR*XXX*PMAIRIEBASTIA20200*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939536;ZChargePoint495;FR*XXX*E10339*P1;10339;0;2;2;22.000;;0;;;4;16;9;32;;;;;;
393401;Bastia Mairie;Bastia Mairie/FR*XXX*PMAIRIEBASTIA20200*1;Bastia Mairie;FR*XXX*PMAIRIEBASTIA20200*1;FR*XXX*PMAIRIEBASTIA20200*1;;;Driveco | XX*DRV;XX*DRV;Bastia Mairie;;;;;Avenue Pierre Giudicelli;Bastia;20200;FR;;42.702202;9.452080;0;1;6;1;1;2;42.702202;9.452080;;;;1;0;;;;;;;;;;;;;;;;;;;515156;FR*XXX*PMAIRIEBASTIA20200*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939539;ZChargePoint496;FR*XXX*E10339*P2;10339;0;2;1;22.000;;0;;;9;32;;;;;;;;
393404;BEST WESTERN;BEST WESTERN/FR*XXX*PBESTWESTERN20090*1;Best Western Ajaccio;FR*XXX*PBESTWESTERN20090*1;FR*XXX*PBESTWESTERN20090*1;;;Driveco | XX*DRV;XX*DRV;Best Western Ajaccio;;;;20;Boulevard Georges Pompidou;Ajaccio;20090;FR;;41.933909;8.756840;0;1;6;1;1;2;41.933909;8.756840;;;;1;0;;;;;;;;;;;;;;;;;;;515159;FR*XXX*PBESTWESTERN20090*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939542;ZChargePoint2413;FR*XXX*E10883*P1;10883;0;1;2;7.400;;0;Driveco*E1;;4;16;8;32;;;;;;
393404;BEST WESTERN;BEST WESTERN/FR*XXX*PBESTWESTERN20090*1;Best Western Ajaccio;FR*XXX*PBESTWESTERN20090*1;FR*XXX*PBESTWESTERN20090*1;;;Driveco | XX*DRV;XX*DRV;Best Western Ajaccio;;;;20;Boulevard Georges Pompidou;Ajaccio;20090;FR;;41.933909;8.756840;0;1;6;1;1;2;41.933909;8.756840;;;;1;0;;;;;;;;;;;;;;;;;;;515159;FR*XXX*PBESTWESTERN20090*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939545;ZChargePoint2414;FR*XXX*E10883*P2;10883;0;1;1;7.400;;0;Driveco*E1;;8;32;;;;;;;;
393404;BEST WESTERN;BEST WESTERN/FR*XXX*PBESTWESTERN20090*1;Best Western Ajaccio;FR*XXX*PBESTWESTERN20090*1;FR*XXX*PBESTWESTERN20090*1;;;Driveco | XX*DRV;XX*DRV;Best Western Ajaccio;;;;20;Boulevard Georges Pompidou;Ajaccio;20090;FR;;41.933909;8.756840;0;1;6;1;1;2;41.933909;8.756840;;;;1;0;;;;;;;;;;;;;;;;;;;515159;FR*XXX*PBESTWESTERN20090*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939548;ZChargePoint2417;FR*XXX*E10884*P1;10884;0;1;2;7.400;;0;Driveco*E1;;4;16;8;32;;;;;;
393404;BEST WESTERN;BEST WESTERN/FR*XXX*PBESTWESTERN20090*1;Best Western Ajaccio;FR*XXX*PBESTWESTERN20090*1;FR*XXX*PBESTWESTERN20090*1;;;Driveco | XX*DRV;XX*DRV;Best Western Ajaccio;;;;20;Boulevard Georges Pompidou;Ajaccio;20090;FR;;41.933909;8.756840;0;1;6;1;1;2;41.933909;8.756840;;;;1;0;;;;;;;;;;;;;;;;;;;515159;FR*XXX*PBESTWESTERN20090*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939551;ZChargePoint2418;FR*XXX*E10884*P2;10884;0;1;1;7.400;;0;Driveco*E1;;8;32;;;;;;;;
393404;BEST WESTERN;BEST WESTERN/FR*XXX*PBESTWESTERN20090*1;Best Western Ajaccio;FR*XXX*PBESTWESTERN20090*1;FR*XXX*PBESTWESTERN20090*1;;;Driveco | XX*DRV;XX*DRV;Best Western Ajaccio;;;;20;Boulevard Georges Pompidou;Ajaccio;20090;FR;;41.933909;8.756840;0;1;6;1;1;2;41.933909;8.756840;;;;1;0;;;;;;;;;;;;;;;;;;;515159;FR*XXX*PBESTWESTERN20090*1-B1;;6;2;;;1;100|13|5;fr;;2|3;;939554;ZChargePoint2415;FR*XXX*E10885*P1;10885;0;1;2;7.400;;0;Driveco*E1;;4;16;8;32;;;;;;
